epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,78.2753,0.98849,0.93958,1.07615,0.58139,0.55417,0.58111,0.3628,1.08832,1.15883,1.12565,0.000679204,0.000679204,0.000679204
55,79.6838,0.96582,0.91536,1.04688,0.6449,0.52813,0.58133,0.36779,1.08001,1.14275,1.12304,0.000665057,0.000665057,0.000665057
56,81.1244,0.98385,0.94396,1.05231,0.62926,0.54556,0.59245,0.38152,1.06465,1.13391,1.13173,0.000650909,0.000650909,0.000650909
57,82.541,0.97319,0.90821,1.0555,0.62926,0.54556,0.59245,0.38152,1.06465,1.13391,1.13173,0.000636762,0.000636762,0.000636762
58,83.914,0.98237,0.91579,1.06771,0.57229,0.60717,0.59172,0.38859,1.07157,1.14438,1.14198,0.000622615,0.000622615,0.000622615
59,85.4892,0.98513,0.91765,1.07136,0.54692,0.6331,0.58512,0.38422,1.07042,1.14022,1.13472,0.000608468,0.000608468,0.000608468
60,86.7711,0.96801,0.91827,1.07823,0.56321,0.60831,0.59945,0.39525,1.04948,1.1278,1.12747,0.000594321,0.000594321,0.000594321
61,88.1681,0.96634,0.88905,1.06813,0.56321,0.60831,0.59945,0.39525,1.04948,1.1278,1.12747,0.000580174,0.000580174,0.000580174
62,89.571,0.95916,0.89548,1.06165,0.60339,0.61091,0.62353,0.40981,1.03796,1.13406,1.13289,0.000566027,0.000566027,0.000566027
63,90.9242,0.91088,0.91905,1.08759,0.59348,0.67141,0.64067,0.41798,1.03206,1.13891,1.13356,0.00055188,0.00055188,0.00055188
64,92.3238,0.97096,0.90305,1.05874,0.63351,0.64855,0.65599,0.43131,1.02863,1.0683,1.123,0.000537733,0.000537733,0.000537733
65,93.692,1.00129,0.95626,1.05649,0.63351,0.64855,0.65599,0.43131,1.02863,1.0683,1.123,0.000523586,0.000523586,0.000523586
66,95.1412,0.96051,0.88328,1.04275,0.64076,0.64229,0.65757,0.42807,1.02748,1.03155,1.11685,0.000509438,0.000509438,0.000509438
67,96.5284,0.93457,0.8563,1.04303,0.60266,0.62258,0.64462,0.43058,1.01827,1.03088,1.11473,0.000495291,0.000495291,0.000495291
68,97.946,0.92358,0.90164,1.03936,0.6318,0.60345,0.63764,0.423,1.0217,1.04205,1.11341,0.000481144,0.000481144,0.000481144
69,99.3903,0.96244,0.89084,1.02893,0.6318,0.60345,0.63764,0.423,1.0217,1.04205,1.11341,0.000466997,0.000466997,0.000466997
70,100.729,0.90078,0.8441,1.03642,0.65304,0.5744,0.63154,0.41821,1.0188,1.05488,1.10788,0.00045285,0.00045285,0.00045285
71,102.14,0.9435,0.83779,1.03184,0.61862,0.58533,0.6215,0.40859,1.01265,1.05795,1.10097,0.000438703,0.000438703,0.000438703
